 Long   Lat    Vpn    Ani    Direc  
 91.75  22.25  8.221  0.194  170.1
 92.25  22.25  8.231  0.182  171.9
 92.75  22.25  8.194  0.141  176.3
 93.25  22.25  8.106  0.095    8.8
 93.75  22.25  8.002  0.080   35.5
 94.25  22.25  7.927  0.102   57.8
 94.75  22.25  7.870  0.110   66.8
 95.25  22.25  7.845  0.066   76.4
 95.75  22.25  7.863  0.066  132.3
 96.25  22.25  7.905  0.186  143.6
 96.75  22.25  7.948  0.293  146.3
 97.25  22.25  7.951  0.348  149.3
 97.75  22.25  7.920  0.349  153.1
 98.25  22.25  7.854  0.304  159.8
 98.75  22.25  7.844  0.219  164.4
 99.25  22.25  7.851  0.150  169.8
 99.75  22.25  7.855  0.129  172.2
100.25  22.25  7.876  0.108  173.8
100.75  22.25  7.878  0.127  175.6
101.25  22.25  7.899  0.132    1.5
101.75  22.25  7.908  0.142    6.4
102.25  22.25  7.958  0.122   14.2
102.75  22.25  7.990  0.105   18.9
103.25  22.25  8.004  0.066   13.5
103.75  22.25  8.022  0.036  160.1
104.25  22.25  8.022  0.066  143.0
104.75  22.25  8.000  0.076  148.8
105.25  22.25  7.959  0.073  163.4
105.75  22.25  7.927  0.079  175.0
106.25  22.25  7.946  0.080  175.9
106.75  22.25  7.997  0.065  172.6
107.25  22.25  8.065  0.042  163.9
107.75  22.25  8.125  0.017  144.4
108.25  22.25  8.166  0.022   90.5
108.75  22.25  8.179  0.043   82.0
109.25  22.25  8.143  0.047   74.0
109.75  22.25  8.089  0.045   67.4
 37.75  22.75  8.095  0.011  169.5
 38.25  22.75  8.094  0.013  169.0
 38.75  22.75  8.091  0.014  171.5
 39.25  22.75  8.080  0.024  177.6
 39.75  22.75  8.081  0.021    0.1
 42.75  22.75  8.101  0.003   74.3
 44.75  22.75  8.117  0.013   30.9
 45.25  22.75  8.133  0.023   31.6
 45.75  22.75  8.163  0.043   34.3
 46.25  22.75  8.197  0.060   36.7
 46.75  22.75  8.235  0.075   38.9
 47.25  22.75  8.259  0.079   38.9
 47.75  22.75  8.261  0.076   33.1
 48.25  22.75  8.255  0.074   27.6
 48.75  22.75  8.244  0.067   22.3
 49.25  22.75  8.224  0.056   14.8
 49.75  22.75  8.202  0.049    4.5
 50.25  22.75  8.175  0.045  174.0
 50.75  22.75  8.147  0.038  166.0
 51.25  22.75  8.126  0.029  161.0
 52.25  22.75  8.128  0.039  164.5
 52.75  22.75  8.149  0.053  166.5
 53.25  22.75  8.163  0.057  168.5
 53.75  22.75  8.164  0.058  169.8
 54.25  22.75  8.162  0.051  167.4
 54.75  22.75  8.174  0.022  152.3
 55.25  22.75  8.185  0.035   96.9
 55.75  22.75  8.166  0.067   98.0
 56.25  22.75  8.113  0.079  106.9
 56.75  22.75  8.045  0.083  117.4
 57.25  22.75  7.993  0.081  123.3
 57.75  22.75  7.967  0.075  122.2
 58.25  22.75  7.960  0.068  113.8
 58.75  22.75  7.953  0.072   97.6
 59.25  22.75  7.942  0.099   87.9
 59.75  22.75  7.929  0.131   85.0
