Date,Event Latitude,Event Longitude,Event Depth,Mw,Fast Axis Orientation,Delay Time,Is Null?,Station Name,Station Latitude,Station Longitude,Bidirectional Circular Average at Stations (Sadeghi-Bagherabadi et al. 2018),Average Delay Time at Stations (Sadeghi-Bagherabadi et al. 2018),The Two Best Recorded Earthquakes
24-Aug-14,-14.5976,-73.5701,101,6.8,-80.78902239,2.04,Yes,M16,34.72713,47.14542,,,
15-Apr-14,-53.527,8.704,12,6.9,21.79368361,0.54,Yes,M16,34.72713,47.14542,,,
12-Oct-13,10.905,-62.315,63,6,-77.67777093,1.12,Yes,M16,34.80809,47.21751,,,‡
19-Apr-14,-6.679,155.085,24,6.6,-28.68939689,1.28,No,M17,34.8842,47.3526,127,1.43,
7-Feb-14,-15.069,167.372,122,6.5,-48.31074612,1.22,No,M17,34.8842,47.3526,127,1.43,
16-Oct-13,-6.446,154.931,35,6.8,71.20027214,1.78,No,M17,34.8842,47.3526,127,1.43,
1-Jan-14,-13.863,167.249,187,6.5,76.556034,2.7,Yes,M17,34.8842,47.3526,127,1.43,†
13-Jan-14,19.043,-66.81,20,6.4,23.54955076,2.56,Yes,M17,34.8842,47.3526,127,1.43,
12-Oct-13,10.905,-62.315,63,6,-83.5825265,2.16,No,M17,34.8842,47.3526,127,1.43,‡
15-Apr-14,-53.527,8.704,12,6.9,11.86501027,0.9,Yes,M17,34.8842,47.3526,127,1.43,
20-Apr-14,-7.165,155.335,20,6.2,59.59897089,1.52,No,M18,34.9726,47.4274,76,1.27,
12-Oct-13,10.905,-62.315,63,6,-85.52242726,1.58,No,M18,34.9726,47.4274,76,1.27,‡
24-Aug-14,-14.5976,-73.5701,101,6.8,73.44999261,0.72,No,M18,34.9726,47.4274,76,1.27,
24-Sep-14,-23.8215,-66.6407,224,6.2,-1.981367459,1.72,Yes,M18,34.9726,47.4274,76,1.27,
13-Jan-14,19.043,-66.81,20,6.4,-68.3934432,1.6,Yes,M18,34.9726,47.4274,76,1.27,
15-Apr-14,-53.527,8.704,12,6.9,-58.09405873,0.78,Yes,M18,34.9726,47.4274,76,1.27,
12-Oct-13,10.905,-62.315,63,6,-85.48091945,1.2,No,M19,35.0655,47.471,96,1.49,‡
12-Oct-13,10.905,-62.315,63,6,-83.48091945,1.78,No,M19,35.0655,47.471,96,1.49,‡
13-Jan-14,19.043,-66.81,20,6.4,25.64457061,3.08,Yes,M19,35.0655,47.471,96,1.49,
24-Aug-14,-14.5976,-73.5701,101,6.8,1.538676798,4,Yes,M19,35.0655,47.471,96,1.49,
16-Oct-13,-6.446,154.931,35,6.8,1.212011619,3.44,Yes,M19,35.0655,47.471,96,1.49,
11-Apr-14,-20.748,-70.724,17,6,-0.429348423,4,Yes,M20,35.13263,47.53287,,,
13-Jan-14,19.043,-66.81,20,6.4,-66.30887575,3.02,Yes,M20,35.13263,47.53287,,,
29-Jul-14,17.8419,-95.5243,95.1,6.3,-77.72952863,0.28,Yes,M20,35.13263,47.53287,,,
24-Sep-14,-23.8215,-66.6407,224,6.2,82.17277446,3.44,Yes,M20,35.13263,47.53287,,,
16-Oct-13,-6.446,154.931,35,6.8,9.227282364,1.68,No,M20,35.13263,47.53287,,,
15-Apr-14,-53.527,8.704,12,6.9,27.96482442,1.02,Yes,M20,35.13263,47.53287,,,
15-Apr-14,-53.527,8.704,12,6.9,32.02057543,0.88,No,M21,35.13263,47.53287,,,
13-Jan-14,19.043,-66.81,20,6.4,-74.23211316,0.58,Yes,M21,35.24022,47.63514,,,
12-Oct-13,10.905,-62.315,63,6,36.7079775,1.78,No,M22,35.3302,47.7076,37,1.59,‡
13-Jan-14,19.043,-66.81,20,6.4,37.82397136,1.4,No,M22,35.3302,47.7076,37,1.59,
24-Aug-14,-14.5976,-73.5701,101,6.8,3.863257194,2.04,Yes,M22,35.3302,47.7076,37,1.59,
15-Apr-14,-53.527,8.704,12,6.9,28.0605863,1.72,Yes,M22,35.3302,47.7076,37,1.59,
24-Sep-14,-23.8215,-66.6407,224,6.2,86.38686436,2.78,Yes,M22,35.3302,47.7076,37,1.59,
13-Jan-14,19.043,-66.81,20,6.4,53.91303639,0.56,No,M23,35.4079,47.8342,65,0.79,
12-Oct-13,10.905,-62.315,63,6,50.79958243,0.9,No,M23,35.4079,47.8342,65,0.79,‡
15-Apr-14,-53.527,8.704,12,6.9,-85.87208474,0.92,No,M23,35.4079,47.8342,65,0.79,
29-Jul-14,17.8419,-95.5243,95.1,6.3,48.6260393,3.04,Yes,M23,35.4079,47.8342,65,0.79,
24-Sep-14,-23.8215,-66.6407,224,6.2,80.50109261,1.44,Yes,M23,35.4079,47.8342,65,0.79,
13-Jan-14,19.043,-66.81,20,6.4,49.99538422,0.72,No,M24,35.5369,47.9404,58,1.22,
12-Oct-13,10.905,-62.315,63,6,36.88678164,1.44,No,M24,35.5369,47.9404,58,1.22,‡
23-Mar-14,-19.702,-70.87,21,6.2,63.26163999,1.4,No,M24,35.5369,47.9404,58,1.22,
15-Apr-14,-53.527,8.704,12,6.9,82.18668436,1.3,No,M24,35.5369,47.9404,58,1.22,
16-Oct-13,-6.446,154.931,35,6.8,89.34289525,2.74,Yes,M24,35.5369,47.9404,58,1.22,
13-Jan-14,19.043,-66.81,20,6.4,88.06266394,1.12,No,M25,35.6152,48.0319,69,1.15,
18-Feb-14,14.668,-58.927,15,6.5,53.80356258,1.06,No,M25,35.6152,48.0319,69,1.15,
12-Oct-13,10.905,-62.315,63,6,64.9568982,0.9,No,M25,35.6152,48.0319,69,1.15,‡
15-Apr-14,-53.527,8.704,12,6.9,78.23622093,1.8,No,M25,35.6152,48.0319,69,1.15,
24-Sep-14,-23.8215,-66.6407,224,6.2,58.73590335,0.88,No,M25,35.6152,48.0319,69,1.15,
1-May-14,-21.454,170.355,106,6.6,-3.450651608,4,Yes,M25,35.6152,48.0319,69,1.15,
13-Jan-14,19.043,-66.81,20,6.4,76.10203172,1.08,No,M26,35.6911,48.0799,54,1.16,
18-Feb-14,14.668,-58.927,15,6.5,39.83850272,1.16,No,M26,35.6911,48.0799,54,1.16,
12-Oct-13,10.905,-62.315,63,6,76.99925846,1.2,No,M26,35.6911,48.0799,54,1.16,‡
24-Aug-14,-14.5976,-73.5701,101,6.8,22.34217407,1.18,No,M26,35.6911,48.0799,54,1.16,
23-Mar-14,-19.702,-70.87,21,6.2,43.4477934,1.3,No,M26,35.6911,48.0799,54,1.16,
15-Apr-14,-53.527,8.704,12,6.9,62.2634703,1.02,No,M26,35.6911,48.0799,54,1.16,
20-Apr-14,-7.165,155.335,20,6.2,-72.20118452,2,No,M27,35.7536,48.1937,91,1.18,
13-Jan-14,19.043,-66.81,20,6.4,-83.81803436,0.92,No,M27,35.7536,48.1937,91,1.18,
11-Apr-14,11.591,-86.04,135,6.6,-83.29870937,0.84,No,M27,35.7536,48.1937,91,1.18,
12-Oct-13,10.905,-62.315,63,6,87.08129885,1.2,No,M27,35.7536,48.1937,91,1.18,‡
24-Aug-14,-14.5976,-73.5701,101,6.8,42.45756199,0.56,No,M27,35.7536,48.1937,91,1.18,
15-Apr-14,-53.527,8.704,12,6.9,-81.67609676,1.58,No,M27,35.7536,48.1937,91,1.18,
1-Jan-14,-13.863,167.249,187,6.5,-11.45567913,0.72,Yes,M27,35.7536,48.1937,91,1.18,†
11-Apr-14,-20.748,-70.724,17,6,10.37109416,0.14,Yes,M27,35.7536,48.1937,91,1.18,
16-Oct-13,-6.446,154.931,35,6.8,-36.57216094,0.5,No,M27,35.7536,48.1937,91,1.18,
19-Apr-14,-6.679,155.085,24,6.6,-74.43941781,1.28,No,M28,35.8444,48.2855,101,1.49,
11-Apr-14,11.591,-86.04,135,6.6,-65.18789051,1.8,No,M28,35.8444,48.2855,101,1.49,
16-Oct-13,-6.446,154.931,35,6.8,-78.54477497,1.58,No,M28,35.8444,48.2855,101,1.49,
13-Jan-14,19.043,-66.81,20,6.4,-77.74865904,1,No,M28,35.8444,48.2855,101,1.49,
15-Apr-14,-53.527,8.704,12,6.9,-87.62577735,1.64,No,M28,35.8444,48.2855,101,1.49,
1-Jan-14,-13.863,167.249,187,6.5,-81.45296464,2.08,No,M28,35.8444,48.2855,101,1.49,†
12-Oct-13,10.905,-62.315,63,6,-86.84585396,1.04,No,M28,35.8444,48.2855,101,1.49,‡
24-Aug-14,-14.5976,-73.5701,101,6.8,30.57819397,0.32,Yes,M28,35.8444,48.2855,101,1.49,
24-Sep-14,-23.8215,-66.6407,224,6.2,89.01606188,1.24,Yes,M28,35.8444,48.2855,101,1.49,
15-Apr-14,-53.527,8.704,12,6.9,82.42821264,1.52,No,M29,35.9529,48.3831,79,1.77,
19-Apr-14,-6.679,155.085,24,6.6,-72.41432041,2.2,No,M29,35.9529,48.3831,79,1.77,
24-Aug-14,-14.5976,-73.5701,101,6.8,24.71482738,1.58,No,M29,35.9529,48.3831,79,1.77,
1-May-14,-21.454,170.355,106,6.6,-83.51116306,2.4,Yes,M29,35.9529,48.3831,79,1.77,
29-Jul-14,17.8419,-95.5243,95.1,6.3,57.2877843,2.08,Yes,M29,35.9529,48.3831,79,1.77,
15-Apr-14,-53.527,8.704,12,6.9,-81.50393316,1.64,No,M30,36.04893,48.50855,,,
13-Jan-14,19.043,-66.81,20,6.4,-63.58142394,1.94,Yes,M30,36.04893,48.50855,,,
18-Feb-14,14.668,-58.927,15,6.5,26.12848315,1.48,Yes,M30,36.04893,48.50855,,,
16-Oct-13,-6.446,154.931,35,6.8,79.48088027,1.62,Yes,M30,36.04893,48.50855,,,
12-Oct-13,10.905,-62.315,63,6,-62.67072874,0.9,Yes,M30,36.04893,48.50855,,,‡
1-Jan-14,-13.863,167.249,187,6.5,-77.42331769,1.08,No,M31,36.1541,48.6274,80,0.83,†
15-Apr-14,-53.527,8.704,12,6.9,56.56097554,0.58,No,M31,36.1541,48.6274,80,0.83,
16-Oct-13,-6.446,154.931,35,6.8,1.567896606,4,Yes,M31,36.1541,48.6274,80,0.83,
13-Jan-14,19.043,-66.81,20,6.4,84.50759669,0.24,Yes,M31,36.1541,48.6274,80,0.83,
29-Jul-14,17.8419,-95.5243,95.1,6.3,-34.43030677,0.58,Yes,M31,36.1541,48.6274,80,0.83,
18-Feb-14,14.668,-58.927,15,6.5,-73.78998653,0.68,Yes,M31,36.1541,48.6274,80,0.83,
12-Oct-13,10.905,-62.315,63,6,13.42241252,3.66,Yes,M31,36.1541,48.6274,80,0.83,‡
24-Aug-14,-14.5976,-73.5701,101,6.8,39.01108477,0.22,Yes,M31,36.1541,48.6274,80,0.83,
15-Apr-14,-53.527,8.704,12,6.9,48.5928408,0.68,No,M32,36.28061,48.67955,,,
16-Oct-13,-6.446,154.931,35,6.8,-0.438682571,2.64,Yes,M32,36.28061,48.67955,,,
1-Jan-14,-13.863,167.249,187,6.5,4.533921229,0.44,Yes,M32,36.28061,48.67955,,,†
29-Jul-14,17.8419,-95.5243,95.1,6.3,47.65542801,3.3,Yes,M32,36.28061,48.67955,,,
18-Feb-14,14.668,-58.927,15,6.5,-71.74767057,2.44,Yes,M32,36.28061,48.67955,,,
